Target Name,Funding in USD
Sophos Group plc,4644000000.0
Cylance Inc.,1796999854.0
"CrowdStrike Holdings, Inc.",612000000.0
"Wangsu Science & Technology Co.,Ltd.",587834114.0
"Opzoon Technology Co., Ltd.",399000000.0
"Elastica, Inc.",341423468.0
"Endgame, Inc.",324296671.0
Qihu 360 Software Co. Limited,311000000.0
Darktrace Limited,230500000.0
Splunk Inc.,230000000.0
"Vectra AI, Inc.",227993279.0
"Caspida, Inc.",199724990.0
"Exabeam, Inc.",190000000.0
"BitSight Technologies, Inc.",148800000.0
Nexthink S.A.,146993620.0
"Preferred Networks, Inc.",138746285.0
"Proofpoint, Inc.",116662473.0
Sirrix AG Security Technologies,113000000.0
"IronNet Cybersecurity, Inc.",110500000.0
Vade Secure SASU,99643796.0
ZingBox Inc.,96744381.0
"Arctic Wolf Networks, Inc.",88250000.0
Cyphort Inc.,87249997.0
"Agari Data, Inc.",86517349.0
"PerimeterX, Inc.",78000000.0
"Niara, Inc.",69400000.0
"Zimperium, Inc.",67206367.0
Cognigo,63000000.0
"Premise Data Corporation, Inc.",61000000.0
Privitar Ltd,60998267.0
"Versive, Inc.",57169507.0
Tessian,56666812.0
Datavisor Inc.,54500000.0
Nozomi Networks Inc.,52499992.0
KELA Corporate Intelligence,50000000.0
Deep Instinct Ltd.,50000000.0
"Shanghai Nanyang Wanbang Software Technology Co., Ltd.",49078424.0
"Damballa, Inc.",49000000.0
"Red Canary, Inc.",48757183.0
"Cyberfend, Inc.",48000000.0
VDOO Connected Trust Ltd.,45000000.0
CyActive Ltd.,43000000.0
Insolar Technologies Gmbh,41500000.0
IntSights Cyber Intelligence Ltd.,41300000.0
"JASK, Inc.",39000000.0
"StackRox, Inc.",39000000.0
Blue Hexagon Inc.,37000000.0
"Eversec Technology Co.,Ltd.",35859272.0
NS8 Inc.,33550000.0
"Bay Dynamics, Inc.",31030000.0
"Capsule8, Inc.",30000000.0
"Immuta, Inc.",29500000.0
"Obsidian Security, Inc.",29500000.0
"DefenseStorm, Inc.",29284999.0
"Balbix, Inc.",28600000.0
"Elastic Beam, Inc.",28000000.0
