,Date of Funding Event,Event ID,Event Type,Funding in USD,Target Company ID,countries,clusters,Target Name,isProfileOrganization,Quarter of Funding Event,Year of Funding Event
0,#########,"(u'9206ec6b-9781-417f-9f4c-ee0b5eab982f',)",Private Investment,1740000,7209132c-1d54-447f-9a91-0a21f5d084f7,Italy,"Crypto, Wealth management, Traders, Cryptocurrency",Kellify,TRUE,3,2018
1,#########,"(u'15a9e239-9456-4425-8812-b5d35fda2fe5',)",Private Investment,600000,11cfdaea-d72e-404b-948d-890d6e958387,Canada,"Sentiment, Customer feedback, Employee experience, Text analytics",Swae,TRUE,2,2018
2,#########,"(u'f1eca2f1-61a2-8262-911b-8b57d9f751b0',)",Private Investment,0,8b9ca8b8-9f58-da0f-d4dd-eed5e34a2cbc,United Kingdom,"Invoices, Medium businesses, Cash flow, Receipts",Crystal Apps Ltd.,TRUE,1,2017
3,#########,"(u'40b45f91-8bc2-3c34-982e-b4914c80745e',)",Private Investment,1131601,8b9ca8b8-9f58-da0f-d4dd-eed5e34a2cbc,United Kingdom,"Invoices, Medium businesses, Cash flow, Receipts",Crystal Apps Ltd.,TRUE,2,2016
4,#########,"(u'416170cc-06ae-ca2a-3be0-d56552246ed7',)",Private Investment,218623,8b9ca8b8-9f58-da0f-d4dd-eed5e34a2cbc,United Kingdom,"Invoices, Medium businesses, Cash flow, Receipts",Crystal Apps Ltd.,TRUE,1,2016
5,#########,"(u'9fac26a6-7734-4e2c-b480-af499f6483c9',)",Private Investment,607927,c158f5d2-5c83-4cde-8ab5-78e8e96f8fc1,United Kingdom,"Sql, Hadoop, Python, Data preparation",Lumilinks,TRUE,3,2019
6,#########,"(u'29ab51c4-0a48-4998-856f-dcde47437051',)",Private Investment,1500000,8563242f-1c62-445a-8860-685de2cda0c4,China,"Augmented reality, Vr, Virtual reality, Ar",Jingle Magic (Beijing) Technology,TRUE,2,2019
7,#########,"(u'e1f9fdfe-1924-e783-ba6b-c84a2cb4e045',)",Private Investment,2000000,83f4975f-464f-0292-4cab-337c68d28426,United States,"Drone, Satellite, Unmanned, Remote sensing",DroneAi,TRUE,2,2017
8,#########,"(u'd8323aa5-61d8-37a4-e8d0-63291fbe9256',)",Private Investment,0,83f4975f-464f-0292-4cab-337c68d28426,United States,"Drone, Satellite, Unmanned, Remote sensing",DroneAi,TRUE,4,2016
9,#########,"(u'65a8945a-d447-4481-ac3b-1cb5499b5772',)",Private Investment,55000000,a63348b4-2a63-4ee0-8c98-c4baa7f0fd26,United Kingdom,"Legal, Law, Contract management, Lawyers",ContractPodAi,TRUE,3,2019
10,#########,"(u'5991144a-bfca-4c83-955d-bd750d26fec8',)",Private Investment,0,a63348b4-2a63-4ee0-8c98-c4baa7f0fd26,United Kingdom,"Legal, Law, Contract management, Lawyers",ContractPodAi,TRUE,4,2018
11,#########,"(u'53b571a8-e5b0-4335-98be-7bb37eece8e2',)",Private Investment,1200000,b99b3662-c0e1-4b96-9cc3-0d996e4de24a,Czech Republic,"Invoices, Medium businesses, Cash flow, Receipts",Trivi,TRUE,1,2019
12,#########,"(u'f89648d3-2ecf-4d5e-beee-4bc57f4c4fbb',)",Private Investment,1000000,b99b3662-c0e1-4b96-9cc3-0d996e4de24a,Czech Republic,"Invoices, Medium businesses, Cash flow, Receipts",Trivi,TRUE,2,2018
