Flow Key,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Packets,Total Fwd Packets,Total Backword Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow MB/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,Average Packet Size,Average Fwd Segment Size,Average Bwd Segment Size,Packet Length List,Label
192.168.78.129:80 -> 192.168.78.1:62660,192.168.78.129,80,192.168.78.1,62660,6,01.09.2020 5:10,5046957,9,4,5,422,2220,410,0,105.50000,203.01970,1460,0,444.00000,652.97320,523.48375,0.00052,1.78325,630869.62500,1766809.41992,5003388.00000,21.00000,43569.00000,14523.00000,20090.36777,37480.00000,154.00000,5046841.00000,1261710.25000,2494517.16851,5003409.00000,34.00000,92,112,0.79256,0.99070,0,1460,293.55556,510.36436,260471.77778,293.55556,105.50000,444.00000,8,1
192.168.78.1:62660 -> 192.168.78.129:80,192.168.78.1,62660,192.168.78.129,80,6,01.09.2020 5:10,20684,2,2,0,12,0,6,6,6.00000,0.00000,0,0,0.00000,0.00000,580.15858,0.00058,96.69310,20684.00000,0.00000,20684.00000,20684.00000,20684.00000,20684.00000,0.00000,20684.00000,20684.00000,0.00000,0.00000,0.00000,0.00000,0.00000,40,0,96.69310,0.00000,6,6,6.00000,0.00000,0.00000,6.00000,6.00000,0.00000,1,1
192.168.78.129:80 -> 192.168.78.1:62662,192.168.78.129,80,192.168.78.1,62662,6,01.09.2020 5:10,6107871,409,204,205,42671,222875,426,0,209.17157,205.74396,1460,0,1087.19512,378.83683,43476.03281,0.04348,66.96278,14970.27206,126509.52756,2544374.00000,20.00000,6107657.00000,30086.98030,178303.56221,2544374.00000,530.00000,6105948.00000,29931.11765,178756.61060,2550975.00000,29.00000,4092,4112,33.39953,33.56325,0,1460,649.25672,534.81097,286022.77462,649.25672,209.17157,1087.19512,408,1
192.168.78.1:62662 -> 192.168.78.129:80,192.168.78.1,62662,192.168.78.129,80,6,01.09.2020 5:10,19048,2,2,0,12,0,6,6,6.00000,0.00000,0,0,0.00000,0.00000,629.98740,0.00063,104.99790,19048.00000,0.00000,19048.00000,19048.00000,19048.00000,19048.00000,0.00000,19048.00000,19048.00000,0.00000,0.00000,0.00000,0.00000,0.00000,40,0,104.99790,0.00000,6,6,6.00000,0.00000,0.00000,6.00000,6.00000,0.00000,1,1
192.168.78.129:80 -> 192.168.78.1:62667,192.168.78.129,80,192.168.78.1,62667,6,01.09.2020 5:10,6312397,409,204,205,42639,222875,424,0,209.01471,205.58595,1460,0,1087.19512,378.83683,42062.31009,0.04206,64.79314,15471.56127,131229.66462,2637919.00000,20.00000,6310976.00000,31088.55172,184961.57985,2637919.00000,527.00000,6311782.00000,30940.10784,185316.23556,2643992.00000,29.00000,4092,4112,32.31736,32.47578,0,1460,649.17848,534.84528,286059.47542,649.17848,209.01471,1087.19512,408,1
192.168.78.1:62667 -> 192.168.78.129:80,192.168.78.1,62667,192.168.78.129,80,6,01.09.2020 5:10,9611,2,2,0,12,0,6,6,6.00000,0.00000,0,0,0.00000,0.00000,1248.56935,0.00125,208.09489,9611.00000,0.00000,9611.00000,9611.00000,9611.00000,9611.00000,0.00000,9611.00000,9611.00000,0.00000,0.00000,0.00000,0.00000,0.00000,40,0,208.09489,0.00000,6,6,6.00000,0.00000,0.00000,6.00000,6.00000,0.00000,1,1
192.168.78.129:80 -> 192.168.78.1:62664,192.168.78.129,80,192.168.78.1,62664,6,01.09.2020 5:10,9722192,409,204,205,42679,222875,425,0,209.21078,205.78594,1460,0,1087.19512,378.83683,27314.21062,0.02731,42.06870,23828.90196,199381.45276,4003545.00000,20.00000,9721662.00000,47889.96059,280961.03412,4003545.00000,624.00000,9721061.00000,47652.25980,281157.91793,4009403.00000,35.00000,4092,4112,20.98292,21.08578,0,1460,649.27628,534.80287,286014.11221,649.27628,209.21078,1087.19512,408,1
192.168.78.1:62664 -> 192.168.78.129:80,192.168.78.1,62664,192.168.78.129,80,6,01.09.2020 5:10,25917,2,2,0,12,0,6,6,6.00000,0.00000,0,0,0.00000,0.00000,463.01655,0.00046,77.16943,25917.00000,0.00000,25917.00000,25917.00000,25917.00000,25917.00000,0.00000,25917.00000,25917.00000,0.00000,0.00000,0.00000,0.00000,0.00000,40,0,77.16943,0.00000,6,6,6.00000,0.00000,0.00000,6.00000,6.00000,0.00000,1,1
192.168.78.129:80 -> 192.168.78.1:62668,192.168.78.129,80,192.168.78.1,62668,6,01.09.2020 5:10,10187475,409,204,205,42699,222875,428,0,209.30882,205.88532,1460,0,1087.19512,378.83683,26068.67747,0.02607,40.14734,24969.30147,231760.56561,4667641.00000,20.00000,10187035.00000,50182.43842,327036.36652,4667641.00000,457.00000,10187038.00000,49936.46078,327092.99111,4673809.00000,29.00000,4092,4112,20.02459,20.12275,0,1460,649.32518,534.78157,285991.32782,649.32518,209.30882,1087.19512,408,1
192.168.78.1:62668 -> 192.168.78.129:80,192.168.78.1,62668,192.168.78.129,80,6,01.09.2020 5:10,33580,2,2,0,12,0,6,6,6.00000,0.00000,0,0,0.00000,0.00000,357.35557,0.00036,59.55926,33580.00000,0.00000,33580.00000,33580.00000,33580.00000,33580.00000,0.00000,33580.00000,33580.00000,0.00000,0.00000,0.00000,0.00000,0.00000,40,0,59.55926,0.00000,6,6,6.00000,0.00000,0.00000,6.00000,6.00000,0.00000,1,1
