Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
69411,1265,33898.0,1599,389.0,6.0,180,113095465.0,48.0,24.0,9668.0,10012.0,403.0,0.0,201.41666669999998,203.5482935,923.0,316.0,417.1666667,231.0809507,174.0122825,0.636630302,1592893.8730000001,4597264.595,16500000.0,3.0,113000000.0,2406286.489,5491986.114,16500000.0,3.0,113000000.0,4917177.522,7084368.262999999,16500000.0,3.0,1.0,0.0,0.0,0.0,1536.0,768.0,0.424420201,0.212210101,0.0,923.0,275.109589,233.83324790000003,54677.98782,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,278.93055560000005,201.41666669999998,417.1666667,0.0,0.0,0.0,0.0,0.0,0.0,48.0,9668.0,24.0,10012.0,571.0,2079.0,23.0,32.0,203985.5,575837.2562,1629110.0,379.0,13800000.0,4277541.062,16500000.0,6737603.0,BENIGN
89865,4038,0.0,4913,0.0,0.0,180,119945515.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25056781,805003.4564,5277836.772,60100000.0,0.0,120000000.0,805003.4564,5277836.772,60100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25056781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,6909777.333,11700000.0,20400000.0,6.0,24400000.0,24300000.0,60100000.0,5702188.0,BENIGN
61021,1261,41900.0,1599,53.0,17.0,181,210.0,2.0,2.0,64.0,96.0,32.0,32.0,32.0,0.0,48.0,48.0,48.0,0.0,761904.7619,19047.61905,70.0,36.37306696,112.0,49.0,49.0,49.0,0.0,49.0,49.0,49.0,49.0,0.0,49.0,49.0,0.0,0.0,0.0,0.0,64.0,64.0,9523.809524,9523.809524,32.0,48.0,38.4,8.76356092,76.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,48.0,32.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,64.0,2.0,96.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
61269,1261,44302.0,1599,53.0,17.0,181,244.0,2.0,2.0,80.0,180.0,40.0,40.0,40.0,0.0,90.0,90.0,90.0,0.0,1065573.77,16393.442619999998,81.33333333,99.28914006,193.0,3.0,3.0,3.0,0.0,3.0,3.0,48.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,28.0,28.0,8196.721311,8196.721311,40.0,90.0,60.0,27.38612788,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,75.0,40.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,80.0,2.0,180.0,-1.0,-1.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
58525,1261,16641.0,1599,53.0,17.0,181,78120.0,2.0,2.0,78.0,206.0,39.0,39.0,39.0,0.0,103.0,103.0,103.0,0.0,3635.432668,51.20327701,26040.0,45096.54085,78113.0,3.0,3.0,3.0,0.0,3.0,3.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,64.0,64.0,25.6016385,25.6016385,39.0,103.0,64.6,35.05424368,1228.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.75,39.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,78.0,2.0,206.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
61226,1261,43877.0,1599,53.0,17.0,181,204.0,2.0,2.0,76.0,176.0,38.0,38.0,38.0,0.0,88.0,88.0,88.0,0.0,1235294.118,19607.84314,68.0,33.77869151,107.0,48.0,49.0,49.0,0.0,49.0,49.0,48.0,48.0,0.0,48.0,48.0,0.0,0.0,0.0,0.0,40.0,40.0,9803.921569,9803.921569,38.0,88.0,58.0,27.38612788,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,72.5,38.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,76.0,2.0,176.0,-1.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
69413,1265,33908.0,1599,389.0,6.0,181,442.0,11.0,4.0,172.0,326.0,79.0,0.0,15.63636364,31.4492376,163.0,0.0,81.5,94.10809388,1126696.8329999999,33936.65158,31.57142857,22.27007059,65.0,1.0,442.0,44.2,33.41589775,96.0,1.0,308.0,102.66666670000001,68.13467057,179.0,48.0,0.0,0.0,0.0,0.0,368.0,144.0,24886.87783,9049.773756,0.0,163.0,31.125,57.86060836,3347.85,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.2,15.63636364,81.5,0.0,0.0,0.0,0.0,0.0,0.0,11.0,172.0,4.0,326.0,29200.0,2081.0,4.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
69470,1265,1476.0,1599,53.0,17.0,181,230.0,2.0,2.0,64.0,158.0,32.0,32.0,32.0,0.0,79.0,79.0,79.0,0.0,965217.3913,17391.30435,76.66666667,131.0585111,228.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,64.0,64.0,8695.652173999999,8695.652173999999,32.0,79.0,50.8,25.7429602,662.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,63.5,32.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,64.0,2.0,158.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
33770,1256,16043.0,1599,53.0,17.0,181,151.0,2.0,2.0,88.0,188.0,44.0,44.0,44.0,0.0,94.0,94.0,94.0,0.0,1827814.57,26490.06623,50.33333333,81.11925378,144.0,3.0,3.0,3.0,0.0,3.0,3.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,64.0,64.0,13245.03311,13245.03311,44.0,94.0,64.0,27.38612788,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.0,44.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,88.0,2.0,188.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
36040,1256,54430.0,1599,53.0,17.0,181,178.0,2.0,2.0,68.0,132.0,34.0,34.0,34.0,0.0,66.0,66.0,66.0,0.0,1123595.506,22471.91011,59.33333333,96.70746266,171.0,3.0,4.0,4.0,0.0,4.0,4.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,64.0,64.0,11235.95506,11235.95506,34.0,66.0,46.8,17.52712184,307.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,58.5,34.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,2.0,132.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
